n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,warnings,n_columns,features_combo_index,Train AP,Val AP,Test AP,Train AUC,Val AUC,Test AUC,Precedence
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283]",0.04402034357190132,0.687347,0.777778,0.777037,0.687347,0.5,0.499524,0.680564,0.680556,0.680191,0.704735,0.604938,0.60481,0.687347,0.777778,0.777037,0.36,19260817.0,-1.0,none,10.0,0.0,0.643208,0.222222,0.222222,0.687347,0.5,0.499524,0.0
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283, 22835, 54643, 41082, 8060, 30426, 17314, 12514, 26469, 17587, 30592]",0.07410630979575217,0.707602,0.77037,0.771111,0.707602,0.497619,0.495714,0.704037,0.679556,0.677262,0.71811,0.636037,0.603778,0.707602,0.77037,0.771111,0.31,19260817.0,-1.0,none,20.0,1.0,0.65902,0.221693,0.222222,0.707602,0.497619,0.495714,1.0
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283, 22835, 54643, 41082, 8060, 30426, 17314, 12514, 26469, 17587, 30592, 8789, 39508, 1663, 17685, 12202, 14699, 18051, 4400, 27536, 256]",0.10074268793687224,0.712806,0.761111,0.764074,0.712806,0.491667,0.492381,0.710044,0.674819,0.675058,0.721236,0.619424,0.613698,0.712806,0.761111,0.764074,0.27,19260817.0,-1.0,none,30.0,2.0,0.662674,0.221244,0.221644,0.712806,0.491667,0.492381,2.0
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283, 22835, 54643, 41082, 8060, 30426, 17314, 12514, 26469, 17587, 30592, 8789, 39508, 1663, 17685, 12202, 14699, 18051, 4400, 27536, 256, 29906, 64052, 32682, 4468, 2, 10401, 2038, 4908, 2632, 5181]",0.1253786222077906,0.720561,0.742222,0.748519,0.720561,0.499762,0.496667,0.718107,0.682685,0.680476,0.728521,0.653966,0.648102,0.720561,0.742222,0.748519,0.3,19260817.0,-1.0,none,40.0,3.0,0.67009,0.22214,0.221193,0.720561,0.499762,0.496667,3.0
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283, 22835, 54643, 41082, 8060, 30426, 17314, 12514, 26469, 17587, 30592, 8789, 39508, 1663, 17685, 12202, 14699, 18051, 4400, 27536, 256, 29906, 64052, 32682, 4468, 2, 10401, 2038, 4908, 2632, 5181, 2610, 55768, 30094, 5402, 2171, 8670, 6225, 2294, 31396, 59186]",0.14851399487815797,0.741837,0.714074,0.725926,0.741837,0.487619,0.483929,0.741526,0.669865,0.668863,0.743007,0.641044,0.632823,0.741837,0.714074,0.725926,0.28,19260817.0,-1.0,none,50.0,4.0,0.683764,0.218773,0.218561,0.741837,0.487619,0.483929,4.0
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283, 22835, 54643, 41082, 8060, 30426, 17314, 12514, 26469, 17587, 30592, 8789, 39508, 1663, 17685, 12202, 14699, 18051, 4400, 27536, 256, 29906, 64052, 32682, 4468, 2, 10401, 2038, 4908, 2632, 5181, 2610, 55768, 30094, 5402, 2171, 8670, 6225, 2294, 31396, 59186, 8049, 18892, 19072, 66547, 8529, 36115, 18463, 8092, 22351, 44091]",0.17037147842347622,0.754592,0.742593,0.742222,0.754592,0.504167,0.494405,0.754514,0.686125,0.678356,0.754913,0.660195,0.64519,0.754592,0.742593,0.742222,0.26,19260817.0,-1.0,none,60.0,5.0,0.694499,0.223799,0.220583,0.754592,0.504167,0.494405,5.0
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283, 22835, 54643, 41082, 8060, 30426, 17314, 12514, 26469, 17587, 30592, 8789, 39508, 1663, 17685, 12202, 14699, 18051, 4400, 27536, 256, 29906, 64052, 32682, 4468, 2, 10401, 2038, 4908, 2632, 5181, 2610, 55768, 30094, 5402, 2171, 8670, 6225, 2294, 31396, 59186, 8049, 18892, 19072, 66547, 8529, 36115, 18463, 8092, 22351, 44091, 28136, 8972, 38920, 42269, 5390, 2654, 4412, 30505, 44254, 30980]",0.19133310811594129,0.748061,0.323704,0.318519,0.748061,0.542619,0.539881,0.744512,0.282766,0.274175,0.762655,0.746478,0.744496,0.748061,0.323704,0.318519,0.32,19260817.0,-1.0,none,70.0,6.0,0.673827,0.238077,0.236984,0.748061,0.542619,0.539881,6.0
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283, 22835, 54643, 41082, 8060, 30426, 17314, 12514, 26469, 17587, 30592, 8789, 39508, 1663, 17685, 12202, 14699, 18051, 4400, 27536, 256, 29906, 64052, 32682, 4468, 2, 10401, 2038, 4908, 2632, 5181, 2610, 55768, 30094, 5402, 2171, 8670, 6225, 2294, 31396, 59186, 8049, 18892, 19072, 66547, 8529, 36115, 18463, 8092, 22351, 44091, 28136, 8972, 38920, 42269, 5390, 2654, 4412, 30505, 44254, 30980, 34701, 50128, 42136, 66811, 15316, 6881, 21859, 28287, 11889, 4796]",0.2114591714926064,0.748827,0.343704,0.342222,0.748827,0.555476,0.554524,0.74625,0.313619,0.311375,0.75936,0.759015,0.758188,0.748827,0.343704,0.342222,0.33,19260817.0,-1.0,none,80.0,7.0,0.675943,0.243345,0.242947,0.748827,0.555476,0.554524,7.0
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283, 22835, 54643, 41082, 8060, 30426, 17314, 12514, 26469, 17587, 30592, 8789, 39508, 1663, 17685, 12202, 14699, 18051, 4400, 27536, 256, 29906, 64052, 32682, 4468, 2, 10401, 2038, 4908, 2632, 5181, 2610, 55768, 30094, 5402, 2171, 8670, 6225, 2294, 31396, 59186, 8049, 18892, 19072, 66547, 8529, 36115, 18463, 8092, 22351, 44091, 28136, 8972, 38920, 42269, 5390, 2654, 4412, 30505, 44254, 30980, 34701, 50128, 42136, 66811, 15316, 6881, 21859, 28287, 11889, 4796, 65055, 49625, 6233, 17949, 9371, 36270, 66469, 2215, 10957, 53170]",0.2309132810914889,0.75301,0.382222,0.382222,0.75301,0.573095,0.577262,0.750699,0.373181,0.371219,0.762752,0.761054,0.76994,0.75301,0.382222,0.382222,0.33,19260817.0,-1.0,none,90.0,8.0,0.680183,0.251068,0.252902,0.75301,0.573095,0.577262,8.0
100.0,12.0,0.7,0.7,0.01,0.01,"[6602, 38911, 29604, 37910, 42057, 6307, 47685, 14513, 2359, 283, 22835, 54643, 41082, 8060, 30426, 17314, 12514, 26469, 17587, 30592, 8789, 39508, 1663, 17685, 12202, 14699, 18051, 4400, 27536, 256, 29906, 64052, 32682, 4468, 2, 10401, 2038, 4908, 2632, 5181, 2610, 55768, 30094, 5402, 2171, 8670, 6225, 2294, 31396, 59186, 8049, 18892, 19072, 66547, 8529, 36115, 18463, 8092, 22351, 44091, 28136, 8972, 38920, 42269, 5390, 2654, 4412, 30505, 44254, 30980, 34701, 50128, 42136, 66811, 15316, 6881, 21859, 28287, 11889, 4796, 65055, 49625, 6233, 17949, 9371, 36270, 66469, 2215, 10957, 53170, 9747, 8669, 31629, 478, 37735, 6603, 5950, 2071, 27620, 50049]",0.24935041926801205,0.770714,0.701481,0.70037,0.770714,0.505119,0.489524,0.770712,0.676626,0.667837,0.770727,0.658665,0.644725,0.770714,0.701481,0.70037,0.31,19260817.0,-1.0,none,100.0,9.0,0.708153,0.22409,0.219068,0.770714,0.505119,0.489524,9.0
