n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,warnings,n_columns,features_combo_index,Train AP,Val AP,Test AP,Train AUC,Val AUC,Test AUC,Precedence
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926]",0.27473950618878007,0.819425,0.751111,0.744815,0.819348,0.694762,0.69369,0.819317,0.761954,0.757146,0.820072,0.779636,0.778289,0.819425,0.751111,0.744815,0.45,19260817.0,-1.0,none,110.0,10.0,0.758205,0.359792,0.356338,0.819348,0.694762,0.69369,10.0
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926, 2314, 15629, 63059, 356, 18168, 47880, 1220, 57360, 25562, 67648]",0.28995404636953026,0.82029,0.747778,0.745185,0.820205,0.692619,0.698095,0.820162,0.759176,0.758049,0.821064,0.778023,0.780837,0.82029,0.747778,0.745185,0.44,19260817.0,-1.0,none,120.0,11.0,0.75877,0.356734,0.359842,0.820205,0.692619,0.698095,11.0
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926, 2314, 15629, 63059, 356, 18168, 47880, 1220, 57360, 25562, 67648, 47715, 17566, 17598, 66763, 31538, 43635, 8072, 32527, 5607, 5663]",0.304597336682491,0.820544,0.754815,0.745926,0.820462,0.700119,0.695595,0.820425,0.765496,0.758246,0.821265,0.783083,0.779487,0.820544,0.754815,0.745926,0.4,19260817.0,-1.0,none,130.0,12.0,0.759214,0.365561,0.35824,0.820462,0.700119,0.695595,12.0
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926, 2314, 15629, 63059, 356, 18168, 47880, 1220, 57360, 25562, 67648, 47715, 17566, 17598, 66763, 31538, 43635, 8072, 32527, 5607, 5663, 9276, 2688, 2996, 14014, 31700, 19133, 17617, 731, 66157, 10081]",0.31880864570848644,0.820493,0.748148,0.746296,0.82041,0.692262,0.696429,0.820371,0.759394,0.758641,0.821236,0.77787,0.779998,0.820493,0.748148,0.746296,0.53,19260817.0,-1.0,none,140.0,13.0,0.75909,0.356616,0.359027,0.82041,0.692262,0.696429,13.0
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926, 2314, 15629, 63059, 356, 18168, 47880, 1220, 57360, 25562, 67648, 47715, 17566, 17598, 66763, 31538, 43635, 8072, 32527, 5607, 5663, 9276, 2688, 2996, 14014, 31700, 19133, 17617, 731, 66157, 10081, 20083, 2522, 18304, 8530, 37493, 2821, 52706, 23397, 49708, 39106]",0.3326426678104326,0.820646,0.748148,0.744444,0.820564,0.694048,0.694643,0.820526,0.759664,0.757008,0.821374,0.778866,0.778793,0.820646,0.748148,0.744444,0.48,19260817.0,-1.0,none,150.0,14.0,0.759307,0.35798,0.356914,0.820564,0.694048,0.694643,14.0
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926, 2314, 15629, 63059, 356, 18168, 47880, 1220, 57360, 25562, 67648, 47715, 17566, 17598, 66763, 31538, 43635, 8072, 32527, 5607, 5663, 9276, 2688, 2996, 14014, 31700, 19133, 17617, 731, 66157, 10081, 20083, 2522, 18304, 8530, 37493, 2821, 52706, 23397, 49708, 39106, 9372, 25826, 3632, 11915, 46109, 21685, 25751, 19422, 10101, 11229]",0.34586532914545387,0.822273,0.747778,0.745185,0.822191,0.693214,0.695714,0.822154,0.759266,0.757713,0.823005,0.778356,0.779478,0.822273,0.747778,0.745185,0.42,19260817.0,-1.0,none,160.0,15.0,0.761112,0.357189,0.358028,0.822191,0.693214,0.695714,15.0
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926, 2314, 15629, 63059, 356, 18168, 47880, 1220, 57360, 25562, 67648, 47715, 17566, 17598, 66763, 31538, 43635, 8072, 32527, 5607, 5663, 9276, 2688, 2996, 14014, 31700, 19133, 17617, 731, 66157, 10081, 20083, 2522, 18304, 8530, 37493, 2821, 52706, 23397, 49708, 39106, 9372, 25826, 3632, 11915, 46109, 21685, 25751, 19422, 10101, 11229, 16137, 25175, 41027, 8061, 8973, 3644, 2160, 7476, 20786, 25887]",0.3586760819889605,0.821714,0.748519,0.742222,0.82163,0.694286,0.687857,0.82159,0.759973,0.75437,0.822473,0.779043,0.774708,0.821714,0.748519,0.742222,0.47,19260817.0,-1.0,none,170.0,16.0,0.760404,0.358317,0.350887,0.82163,0.694286,0.687857,16.0
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926, 2314, 15629, 63059, 356, 18168, 47880, 1220, 57360, 25562, 67648, 47715, 17566, 17598, 66763, 31538, 43635, 8072, 32527, 5607, 5663, 9276, 2688, 2996, 14014, 31700, 19133, 17617, 731, 66157, 10081, 20083, 2522, 18304, 8530, 37493, 2821, 52706, 23397, 49708, 39106, 9372, 25826, 3632, 11915, 46109, 21685, 25751, 19422, 10101, 11229, 16137, 25175, 41027, 8061, 8973, 3644, 2160, 7476, 20786, 25887, 167, 13727, 29592, 8541, 28536, 27967, 9760, 65661, 37833, 9105]",0.37124281632713974,0.823036,0.751111,0.74037,0.822953,0.696548,0.686071,0.822915,0.762225,0.752739,0.823786,0.780624,0.773498,0.823036,0.751111,0.74037,0.52,19260817.0,-1.0,none,180.0,17.0,0.761911,0.36116,0.348832,0.822953,0.696548,0.686071,17.0
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926, 2314, 15629, 63059, 356, 18168, 47880, 1220, 57360, 25562, 67648, 47715, 17566, 17598, 66763, 31538, 43635, 8072, 32527, 5607, 5663, 9276, 2688, 2996, 14014, 31700, 19133, 17617, 731, 66157, 10081, 20083, 2522, 18304, 8530, 37493, 2821, 52706, 23397, 49708, 39106, 9372, 25826, 3632, 11915, 46109, 21685, 25751, 19422, 10101, 11229, 16137, 25175, 41027, 8061, 8973, 3644, 2160, 7476, 20786, 25887, 167, 13727, 29592, 8541, 28536, 27967, 9760, 65661, 37833, 9105, 21541, 45306, 35352, 5841, 63496, 5125, 1297, 15546, 40536, 6092]",0.38348329975269735,0.824053,0.748889,0.743333,0.823979,0.692738,0.688571,0.823957,0.760012,0.755295,0.824643,0.778228,0.775234,0.824053,0.748889,0.743333,0.51,19260817.0,-1.0,none,190.0,18.0,0.763574,0.357291,0.35186,0.823979,0.692738,0.688571,18.0
100.0,12.0,0.7,0.7,0.01,0.01,"[5950, 1052, 51049, 8584, 53851, 5290, 30419, 17685, 6603, 2359, 12621, 3094, 6882, 55970, 67150, 19748, 775, 14989, 9639, 23405, 567, 16321, 1289, 67991, 66664, 39021, 16238, 43138, 25205, 3360, 65820, 58751, 22381, 29027, 5413, 5531, 30337, 5082, 60413, 5225, 22644, 66641, 43055, 28635, 89, 28911, 37254, 58438, 8790, 3863, 809, 14879, 20349, 7431, 67106, 31229, 2491, 6167, 18771, 65907, 44141, 67792, 35861, 3216, 65991, 6826, 66619, 46834, 6276, 10820, 36443, 19094, 7268, 7647, 30479, 55583, 32652, 7690, 60825, 13044, 19698, 41191, 5302, 40128, 67704, 4192, 12713, 2203, 25760, 29667, 599, 48132, 65072, 67361, 34377, 26357, 58031, 5840, 16311, 21109, 66427, 27581, 3907, 3643, 57787, 753, 15171, 29750, 68047, 35926, 2314, 15629, 63059, 356, 18168, 47880, 1220, 57360, 25562, 67648, 47715, 17566, 17598, 66763, 31538, 43635, 8072, 32527, 5607, 5663, 9276, 2688, 2996, 14014, 31700, 19133, 17617, 731, 66157, 10081, 20083, 2522, 18304, 8530, 37493, 2821, 52706, 23397, 49708, 39106, 9372, 25826, 3632, 11915, 46109, 21685, 25751, 19422, 10101, 11229, 16137, 25175, 41027, 8061, 8973, 3644, 2160, 7476, 20786, 25887, 167, 13727, 29592, 8541, 28536, 27967, 9760, 65661, 37833, 9105, 21541, 45306, 35352, 5841, 63496, 5125, 1297, 15546, 40536, 6092, 6560, 24731, 22449, 21887, 28574, 5563, 2533, 17577, 11358, 36973]",0.3954878527438268,0.822883,0.750741,0.741481,0.822804,0.695119,0.687381,0.822773,0.761736,0.753753,0.823561,0.779785,0.774358,0.822883,0.750741,0.741481,0.49,19260817.0,-1.0,none,200.0,19.0,0.761966,0.359905,0.350243,0.822804,0.695119,0.687381,19.0
