n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,warnings,n_columns,features_combo_index,Train AP,Val AP,Test AP,Train AUC,Val AUC,Test AUC,Precedence
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567]",0.06680452125146985,0.734184,0.732593,0.73,0.734184,0.662619,0.660357,0.733313,0.743339,0.741108,0.737283,0.759392,0.757805,0.734184,0.732593,0.73,0.37,19260817.0,-1.0,none,10.0,0.0,0.67901,0.328559,0.326077,0.734184,0.662619,0.660357,0.0
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567, 5531, 18271, 43138, 67548, 2491, 67150, 50463, 27581, 14879, 51794]",0.10053253802470863,0.763112,0.729259,0.723704,0.763112,0.680119,0.670595,0.763107,0.743659,0.738183,0.763136,0.769077,0.763082,0.763112,0.729259,0.723704,0.3,19260817.0,-1.0,none,20.0,1.0,0.701447,0.340493,0.331735,0.763112,0.680119,0.670595,1.0
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567, 5531, 18271, 43138, 67548, 2491, 67150, 50463, 27581, 14879, 51794, 57527, 5290, 9276, 5563, 55970, 2359, 3863, 3216, 3094, 35019]",0.1291450106073171,0.79699,0.731852,0.735556,0.79699,0.677024,0.682381,0.79687,0.745124,0.748644,0.797689,0.767488,0.770913,0.79699,0.731852,0.735556,0.33,19260817.0,-1.0,none,30.0,2.0,0.73262,0.339036,0.344305,0.79699,0.677024,0.682381,2.0
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567, 5531, 18271, 43138, 67548, 2491, 67150, 50463, 27581, 14879, 51794, 57527, 5290, 9276, 5563, 55970, 2359, 3863, 3216, 3094, 35019, 2160, 66664, 9639, 775, 3315, 40128, 6882, 67682, 52187, 32887]",0.15288822120055556,0.805969,0.747407,0.745926,0.805969,0.694167,0.69619,0.805925,0.759135,0.758332,0.806251,0.778845,0.779825,0.805969,0.747407,0.745926,0.25,19260817.0,-1.0,none,40.0,3.0,0.743848,0.357761,0.358693,0.805969,0.694167,0.69619,3.0
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567, 5531, 18271, 43138, 67548, 2491, 67150, 50463, 27581, 14879, 51794, 57527, 5290, 9276, 5563, 55970, 2359, 3863, 3216, 3094, 35019, 2160, 66664, 9639, 775, 3315, 40128, 6882, 67682, 52187, 32887, 53765, 2522, 29592, 5192, 67659, 6005, 5413, 30573, 67991, 21887]",0.1746095735579729,0.815459,0.748519,0.741852,0.815459,0.688929,0.684643,0.815407,0.759149,0.75361,0.815819,0.776072,0.772853,0.815459,0.748519,0.741852,0.31,19260817.0,-1.0,none,50.0,4.0,0.753993,0.354226,0.348311,0.815459,0.688929,0.684643,4.0
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567, 5531, 18271, 43138, 67548, 2491, 67150, 50463, 27581, 14879, 51794, 57527, 5290, 9276, 5563, 55970, 2359, 3863, 3216, 3094, 35019, 2160, 66664, 9639, 775, 3315, 40128, 6882, 67682, 52187, 32887, 53765, 2522, 29592, 5192, 67659, 6005, 5413, 30573, 67991, 21887, 6276, 22381, 23569, 3414, 24219, 32363, 21139, 2414, 156, 35607]",0.19526853319257498,0.813929,0.748519,0.74,0.813929,0.69369,0.684643,0.813852,0.759883,0.752252,0.814445,0.778711,0.772648,0.813929,0.748519,0.74,0.35,19260817.0,-1.0,none,60.0,5.0,0.751679,0.357863,0.347614,0.813929,0.69369,0.684643,5.0
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567, 5531, 18271, 43138, 67548, 2491, 67150, 50463, 27581, 14879, 51794, 57527, 5290, 9276, 5563, 55970, 2359, 3863, 3216, 3094, 35019, 2160, 66664, 9639, 775, 3315, 40128, 6882, 67682, 52187, 32887, 53765, 2522, 29592, 5192, 67659, 6005, 5413, 30573, 67991, 21887, 6276, 22381, 23569, 3414, 24219, 32363, 21139, 2414, 156, 35607, 58031, 56625, 6826, 17607, 64229, 65991, 65152, 24028, 59415, 41191]",0.21503037179354578,0.826327,0.76037,0.748519,0.826327,0.709643,0.689524,0.826213,0.771028,0.759243,0.827178,0.789067,0.7764,0.826327,0.76037,0.748519,0.32,19260817.0,-1.0,none,70.0,6.0,0.764483,0.375565,0.354681,0.826327,0.709643,0.689524,6.0
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567, 5531, 18271, 43138, 67548, 2491, 67150, 50463, 27581, 14879, 51794, 57527, 5290, 9276, 5563, 55970, 2359, 3863, 3216, 3094, 35019, 2160, 66664, 9639, 775, 3315, 40128, 6882, 67682, 52187, 32887, 53765, 2522, 29592, 5192, 67659, 6005, 5413, 30573, 67991, 21887, 6276, 22381, 23569, 3414, 24219, 32363, 21139, 2414, 156, 35607, 58031, 56625, 6826, 17607, 64229, 65991, 65152, 24028, 59415, 41191, 24517, 204, 25205, 36668, 5841, 29667, 4192, 1297, 58351, 5496]",0.23381407209672034,0.827296,0.757407,0.747778,0.827296,0.71131,0.69381,0.827191,0.769048,0.759355,0.828093,0.789614,0.778688,0.827296,0.757407,0.747778,0.37,19260817.0,-1.0,none,80.0,7.0,0.765739,0.375401,0.357643,0.827296,0.71131,0.69381,7.0
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567, 5531, 18271, 43138, 67548, 2491, 67150, 50463, 27581, 14879, 51794, 57527, 5290, 9276, 5563, 55970, 2359, 3863, 3216, 3094, 35019, 2160, 66664, 9639, 775, 3315, 40128, 6882, 67682, 52187, 32887, 53765, 2522, 29592, 5192, 67659, 6005, 5413, 30573, 67991, 21887, 6276, 22381, 23569, 3414, 24219, 32363, 21139, 2414, 156, 35607, 58031, 56625, 6826, 17607, 64229, 65991, 65152, 24028, 59415, 41191, 24517, 204, 25205, 36668, 5841, 29667, 4192, 1297, 58351, 5496, 8790, 6167, 4084, 11519, 27675, 16137, 112, 29971, 50294, 3995]",0.2519168610451743,0.829949,0.757407,0.753704,0.829949,0.709524,0.695238,0.829849,0.768797,0.76393,0.830726,0.788618,0.780255,0.829949,0.757407,0.753704,0.45,19260817.0,-1.0,none,90.0,8.0,0.768808,0.374023,0.361305,0.829949,0.709524,0.695238,8.0
100.0,12.0,0.7,0.7,0.01,0.01,"[66928, 5950, 6603, 1052, 8584, 5302, 66641, 51049, 39463, 567, 5531, 18271, 43138, 67548, 2491, 67150, 50463, 27581, 14879, 51794, 57527, 5290, 9276, 5563, 55970, 2359, 3863, 3216, 3094, 35019, 2160, 66664, 9639, 775, 3315, 40128, 6882, 67682, 52187, 32887, 53765, 2522, 29592, 5192, 67659, 6005, 5413, 30573, 67991, 21887, 6276, 22381, 23569, 3414, 24219, 32363, 21139, 2414, 156, 35607, 58031, 56625, 6826, 17607, 64229, 65991, 65152, 24028, 59415, 41191, 24517, 204, 25205, 36668, 5841, 29667, 4192, 1297, 58351, 5496, 8790, 6167, 4084, 11519, 27675, 16137, 112, 29971, 50294, 3995, 43055, 8125, 51710, 68191, 23405, 24768, 58438, 8670, 36936, 23743]",0.2692740933271125,0.831735,0.760741,0.752593,0.831735,0.713452,0.699286,0.831629,0.771849,0.763729,0.832573,0.791213,0.782331,0.831735,0.760741,0.752593,0.43,19260817.0,-1.0,none,100.0,9.0,0.770655,0.378695,0.363914,0.831735,0.713452,0.699286,9.0
