n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train accu,Val accu,Test accu,Train balanced_accu,Val balanced_accu,Test balanced_accu,Train f1,Val f1,Test f1,Train precision,Val precision,Test precision,Train recall,Val recall,Test recall,Time,random_state,n_jobs,warnings,n_columns,features_combo_index,Train AP,Val AP,Test AP,Train AUC,Val AUC,Test AUC,Precedence
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549]",0.0549985114485025,0.631071,0.623571,0.620714,0.631071,0.623571,0.620714,0.613093,0.605073,0.604237,0.660995,0.652063,0.644835,0.631071,0.623571,0.620714,0.26,19260817.0,-1.0,none,10.0,0.0,0.595735,0.58871,0.584976,0.631071,0.623571,0.620714,0.0
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549]",0.0549985114485025,0.631071,0.623571,0.620714,0.631071,0.623571,0.620714,0.613093,0.605073,0.604237,0.660995,0.652063,0.644835,0.631071,0.623571,0.620714,0.2,19260817.0,-1.0,none,10.0,0.0,0.595735,0.58871,0.584976,0.631071,0.623571,0.620714,0.0
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549, 41058, 34565, 3940, 52457, 67461, 13645, 5179, 64586, 42497, 2926]",0.0921789549756795,0.67148,0.665476,0.658333,0.67148,0.665476,0.658333,0.659911,0.653431,0.646546,0.698488,0.692196,0.682706,0.67148,0.665476,0.658333,0.24,19260817.0,-1.0,none,20.0,1.0,0.632332,0.6264,0.618661,0.67148,0.665476,0.658333,1.0
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549, 41058, 34565, 3940, 52457, 67461, 13645, 5179, 64586, 42497, 2926, 8011, 2354, 34729, 951, 39456, 3357, 13408, 347, 27671, 5495]",0.1244260561652481,0.703469,0.690476,0.690714,0.703469,0.690476,0.690714,0.697888,0.684751,0.684807,0.719704,0.705397,0.706171,0.703469,0.690476,0.690714,0.41,19260817.0,-1.0,none,30.0,2.0,0.65859,0.644906,0.645443,0.703469,0.690476,0.690714,2.0
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549, 41058, 34565, 3940, 52457, 67461, 13645, 5179, 64586, 42497, 2926, 8011, 2354, 34729, 951, 39456, 3357, 13408, 347, 27671, 5495, 12614, 5942, 2197, 47415, 2154, 66755, 26025, 6157, 8065, 20952]",0.1526261293329298,0.710204,0.699286,0.694286,0.710204,0.699286,0.694286,0.704891,0.69402,0.68903,0.726518,0.71402,0.708372,0.710204,0.699286,0.694286,0.24,19260817.0,-1.0,none,40.0,3.0,0.665495,0.653485,0.648152,0.710204,0.699286,0.694286,3.0
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549, 41058, 34565, 3940, 52457, 67461, 13645, 5179, 64586, 42497, 2926, 8011, 2354, 34729, 951, 39456, 3357, 13408, 347, 27671, 5495, 12614, 5942, 2197, 47415, 2154, 66755, 26025, 6157, 8065, 20952, 41949, 7347, 65435, 35227, 26546, 6870, 31918, 4269, 1755, 8107]",0.1783662806265056,0.71648,0.705952,0.695238,0.71648,0.705952,0.695238,0.712391,0.701844,0.691102,0.729533,0.717965,0.706287,0.71648,0.705952,0.695238,0.26,19260817.0,-1.0,none,50.0,4.0,0.669778,0.658405,0.647215,0.71648,0.705952,0.695238,4.0
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549, 41058, 34565, 3940, 52457, 67461, 13645, 5179, 64586, 42497, 2926, 8011, 2354, 34729, 951, 39456, 3357, 13408, 347, 27671, 5495, 12614, 5942, 2197, 47415, 2154, 66755, 26025, 6157, 8065, 20952, 41949, 7347, 65435, 35227, 26546, 6870, 31918, 4269, 1755, 8107, 64587, 32095, 68300, 67505, 3973, 51722, 6814, 22477, 47262, 40817]",0.201824746094644,0.735765,0.729048,0.722143,0.735765,0.729048,0.722143,0.734198,0.727485,0.720321,0.74146,0.734423,0.728087,0.735765,0.729048,0.722143,0.44,19260817.0,-1.0,none,60.0,5.0,0.683553,0.676349,0.669918,0.735765,0.729048,0.722143,5.0
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549, 41058, 34565, 3940, 52457, 67461, 13645, 5179, 64586, 42497, 2926, 8011, 2354, 34729, 951, 39456, 3357, 13408, 347, 27671, 5495, 12614, 5942, 2197, 47415, 2154, 66755, 26025, 6157, 8065, 20952, 41949, 7347, 65435, 35227, 26546, 6870, 31918, 4269, 1755, 8107, 64587, 32095, 68300, 67505, 3973, 51722, 6814, 22477, 47262, 40817, 1296, 9947, 68456, 24301, 4157, 25730, 24955, 4047, 56880, 27205]",0.223786782938987,0.737602,0.73,0.725,0.737602,0.73,0.725,0.736124,0.728463,0.723323,0.743048,0.735329,0.730591,0.737602,0.73,0.725,0.4,19260817.0,-1.0,none,70.0,6.0,0.685194,0.67727,0.672462,0.737602,0.73,0.725,6.0
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549, 41058, 34565, 3940, 52457, 67461, 13645, 5179, 64586, 42497, 2926, 8011, 2354, 34729, 951, 39456, 3357, 13408, 347, 27671, 5495, 12614, 5942, 2197, 47415, 2154, 66755, 26025, 6157, 8065, 20952, 41949, 7347, 65435, 35227, 26546, 6870, 31918, 4269, 1755, 8107, 64587, 32095, 68300, 67505, 3973, 51722, 6814, 22477, 47262, 40817, 1296, 9947, 68456, 24301, 4157, 25730, 24955, 4047, 56880, 27205, 18838, 33991, 4584, 23699, 1107, 751, 970, 67052, 21321, 8204]",0.2440055275801569,0.739235,0.732619,0.727857,0.739235,0.732619,0.727857,0.738016,0.731347,0.726508,0.743772,0.73711,0.732444,0.739235,0.732619,0.727857,0.39,19260817.0,-1.0,none,80.0,7.0,0.685892,0.679056,0.674333,0.739235,0.732619,0.727857,7.0
100.0,12.0,0.7,0.7,0.01,0.01,"[61762, 25510, 66952, 68481, 56286, 38189, 1051, 35348, 35951, 38549, 41058, 34565, 3940, 52457, 67461, 13645, 5179, 64586, 42497, 2926, 8011, 2354, 34729, 951, 39456, 3357, 13408, 347, 27671, 5495, 12614, 5942, 2197, 47415, 2154, 66755, 26025, 6157, 8065, 20952, 41949, 7347, 65435, 35227, 26546, 6870, 31918, 4269, 1755, 8107, 64587, 32095, 68300, 67505, 3973, 51722, 6814, 22477, 47262, 40817, 1296, 9947, 68456, 24301, 4157, 25730, 24955, 4047, 56880, 27205, 18838, 33991, 4584, 23699, 1107, 751, 970, 67052, 21321, 8204, 31850, 13759, 1516, 4289, 13, 37423, 16162, 30546, 40411, 1527]",0.2632760038832202,0.748469,0.741905,0.724048,0.748469,0.741905,0.724048,0.748313,0.741806,0.723912,0.749087,0.742274,0.724488,0.748469,0.741905,0.724048,0.31,19260817.0,-1.0,none,90.0,8.0,0.689207,0.681848,0.664547,0.748469,0.741905,0.724048,8.0
